row_id,mz,rt.min
46356,368.1848,12.5033
3256,655.4419,3.0744
12877,576.402,3.4465
16693,233.1496,4.8311
8126,760.2009,2.9437
70301,496.6886,21.2687
60875,689.2111,17.3812
59183,321.0684,15.637
69993,988.3939,20.9784
36560,264.1014,10.0734
69983,814.5219,21.2174
32197,632.1365,8.352
60584,582.9038,16.9446
41928,216.0801,11.1325
52158,261.0881,13.7217
41257,505.1964,11.1143
43073,234.0408,11.795
6823,373.0803,2.9038
50708,919.1679,14.1987
70571,104.1068,21.2802
34321,139.0501,8.0422
19495,700.5276,3.3811
58967,263.0132,17.0175
29481,781.2335,8.2912
52808,637.145,15.3459
43604,405.0476,11.907
70356,552.6564,21.2196
38346,112.0505,11.5696
36553,344.0886,9.9489
37125,771.2327,10.2258
70342,774.5507,21.2121
36845,1188.5268,10.0928
43364,515.1607,11.1214
54384,380.1069,15.6843
27734,660.4291,8.0346
57336,298.101,15.982
56844,257.0779,16.6195
55219,530.0915,15.9723
30750,643.0945,8.3377
39202,529.1839,11.2162
26924,548.3714,6.5656
42835,992.3368,11.1573
63050,625.7891,19.1753
34639,674.1045,8.4372
70405,712.5502,21.3641
21864,153.0658,5.5672
56456,264.0267,16.2068
17484,494.3477,3.2426
52739,1010.1728,14.8277
60575,371.0361,16.1663
9188,446.1198,3.0287
60368,277.1085,17.0436
70740,614.6303,21.4016
63585,592.8168,18.9859
72073,267.059,22.7788
44958,434.1628,11.5148
42201,212.0588,11.5152
59040,492.9553,17.1127
20356,141.1022,5.8146
32980,451.0581,8.3034
72037,337.0412,23.6365
40687,1685.6825,11.1175
13737,589.5556,2.8912
64251,358.8989,19.1127
41434,742.2979,11.2244
32805,407.1893,9.0803
3408,1008.3397,3.2175
2225,895.5417,3.0683
58916,206.9447,16.824
6254,397.3059,3.3631
29991,1189.3757,8.4285
57974,314.0681,16.7158
37095,288.1554,10.5426
1420,482.4053,3.1881
33894,626.1859,8.3923
58953,266.9643,16.5107
5569,782.4745,3.1727
10171,328.1908,3.5557
5275,702.5072,3.1274
50241,351.156,12.3442
40428,239.1057,11.0891
52358,324.0156,14.8761
1592,477.2708,4.0978
58210,596.0759,16.5057
69197,356.863,21.0036
57387,321.0105,16.4159
